Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
4,4:09,1,10,KAN 39,10,24,Trent Green pass complete to Tony Gonzalez for 11 yards (tackle by Drayton Florence),1.530,2.260
4,4:02,1,10,SDG 50,10,24,Trent Green pass complete to Eddie Kennison for 15 yards (tackle by Jamar Fletcher),2.260,3.250
4,3:36,1,10,SDG 35,10,24,Trent Green pass complete to Larry Johnson for 7 yards (tackle by Matt Wilhelm),3.250,3.650
4,3:12,2,3,SDG 28,10,24,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Drayton Florence),3.650,4.110
4,2:50,1,10,SDG 22,10,24,Trent Green pass complete to Larry Johnson for 3 yards (tackle by Jamar Fletcher),4.110,3.970
4,2:29,2,7,SDG 19,10,24,Trent Green pass complete to Tony Gonzalez for 5 yards (tackle by Stephen Cooper),3.970,4.150
4,2:24,3,2,SDG 14,10,24,Trent Green pass incomplete intended for Eddie Kennison,4.150,2.630
4,2:20,4,2,SDG 14,16,24,"Trent Green pass complete to Larry Johnson for 14 yards, touchdown",2.630,7.000
4,,,,SDG 2,17,24,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,KAN 30,17,24,"Lawrence Tynes kicks onside 11 yards, recovered by Clinton Hart",0.000,2.850
4,2:08,1,10,KAN 41,17,24,Andrew Pinnock up the middle for 1 yard (tackle by Monty Beisel and Kawika Mitchell),2.850,2.440
4,2:00,2,9,KAN 40,17,24,Michael Turner right tackle for 1 yard (tackle by Gary Stills and Lional Dalton),2.440,1.880
4,1:55,,,,17,24,Timeout #3 by Kansas City Chiefs,0.000,1.880
4,1:55,3,8,KAN 39,17,24,Michael Turner right end for no gain (tackle by John Browning),1.880,0.660
4,1:55,4,8,KAN 39,17,24,"Penalty on Mike Scifres: Delay of Game, 5 yards (no play)",0.660,0.330
4,1:07,4,13,KAN 44,17,24,"Mike Scifres punts 35 yards, fair catch by Dante Hall",0.330,0.380
4,0:59,1,10,KAN 9,17,24,Trent Green pass incomplete intended for Tony Gonzalez,-0.380,-0.780
4,0:55,2,10,KAN 9,17,24,Trent Green pass incomplete intended for Tony Gonzalez,-0.780,-1.420
4,0:51,3,10,KAN 9,17,24,Trent Green pass complete to Tony Gonzalez for 21 yards (tackle by Clinton Hart),-1.420,0.940
4,0:34,1,10,KAN 30,17,24,Trent Green spiked the ball,0.940,0.390
4,0:34,2,10,KAN 30,17,24,Trent Green pass incomplete intended for Dante Hall is intercepted by Drayton Florence at SDG-24 and returned for 9 yards (tackle by Casey Wiegmann),0.390,-1.140
4,0:15,1,10,SDG 33,17,24,Philip Rivers kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
