Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
4,2:53,1,10,CLE 41,12,27,Javonte Williams left tackle for no gain (tackle by Maurice Hurst and Shelby Harris),2.850,2.310
4,2:48,,,,,,Timeout #1 by Cleveland Browns,,
4,2:48,2,10,CLE 41,12,27,Russell Wilson sacked by Jeremiah Owusu-Koramoah for -9 yards,2.310,0.430
4,2:44,,,,,,Timeout #2 by Cleveland Browns,,
4,2:44,3,19,DEN 50,12,27,Samaje Perine right end for 3 yards (tackle by Jeremiah Owusu-Koramoah),0.430,0.130
4,2:38,,,,,,Timeout #3 by Cleveland Browns,,
4,2:38,4,15,CLE 47,12,27,"Riley Dixon punts 42 yards, fair catch by James Proche at CLE-5",0.130,0.380
4,2:32,1,10,CLE 5,12,27,P.J. Walker pass incomplete short left intended for David Bell,-0.380,-0.780
4,2:28,2,10,CLE 5,12,27,P.J. Walker pass incomplete short left intended for Elijah Moore,-0.780,-1.420
4,2:24,3,10,CLE 5,12,29,P.J. Walker sacked by and Zach Allen for -5 yards and Nik Bonitto for -5 yards,-1.420,-2.000
4,2:19,,,CLE 20,12,29,"Dustin Hopkins kicks off 62 yards,",0.000,0.610
4,2:19,1,10,DEN 25,12,29,Russell Wilson kneels for -1 yards,0.610,-0.070
4,2:00,2,11,DEN 24,12,29,"Penalty on Lloyd Cushenberry: False Start, 5 yards (accepted) (no play)",-0.070,-0.810
4,2:00,2,16,DEN 19,12,29,Russell Wilson kneels for -1 yards,-0.810,-1.720
4,1:20,3,17,DEN 18,12,29,Russell Wilson kneels for -1 yards,-1.720,-2.320
4,0:37,,,,,,Timeout #2 by Denver Broncos,,
4,0:37,4,18,DEN 17,12,29,"Riley Dixon punts 50 yards, fair catch by James Proche at CLE-33",-2.320,-1.140
4,0:30,1,10,CLE 33,12,29,P.J. Walker kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
