Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
3,0:43,2,4,NYG 47,22,10,Eli Manning pass complete short right to Sinorice Moss for 3 yards (tackle by Leigh Torrence),1.930,1.620
3,0:03,3,1,,22,10,Eli Manning up the middle for 1 yard (tackle by H.B. Blades),1.620,2.320
Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,WAS 49,22,10,Eli Manning pass complete short left to Sinorice Moss for 14 yards (tackle by Leigh Torrence),2.320,3.250
4,14:22,1,10,WAS 35,22,10,Eli Manning pass complete short left to Sinorice Moss for 15 yards (tackle by Reed Doughty),3.250,4.240
4,13:38,1,10,WAS 20,22,10,Eli Manning pass incomplete deep right intended for Plaxico Burress,4.240,3.690
4,13:28,2,10,WAS 20,22,10,Eli Manning pass incomplete deep right intended for Plaxico Burress (defended by Fred Smoot),3.690,3.010
4,13:21,3,10,WAS 20,22,10,Eli Manning pass incomplete short right intended for Sinorice Moss,3.010,2.120
4,13:15,4,10,WAS 20,22,10,Lawrence Tynes 38 yard field goal no good,2.120,-0.810
4,13:10,1,10,WAS 28,22,10,Clinton Portis right end for 7 yards (tackle by Barry Cofield),0.810,1.210
4,12:39,2,3,WAS 35,22,10,Clinton Portis left end for 9 yards (tackle by Kawika Mitchell and Craig Dahl),1.210,1.860
4,12:01,1,10,WAS 44,22,10,Clinton Portis up the middle for 1 yard (tackle by Justin Tuck),1.860,1.450
4,11:23,2,9,WAS 45,22,10,Todd Collins pass incomplete short left intended for Antwaan Randle El,1.450,0.760
4,11:11,3,9,WAS 45,22,10,Todd Collins pass complete short right to Ladell Betts for 8 yards (tackle by Justin Tuck),0.760,0.130
4,10:21,4,1,NYG 47,22,10,"Penalty on WAS: Delay of Game, 5 yards (no play)",0.130,-0.190
4,10:12,4,6,WAS 48,22,10,"Derrick Frost punts 33 yards, returned by R.W. McQuarters for 8 yards (tackle by Vernon Fox)",-0.190,-0.740
4,9:53,1,10,NYG 27,22,10,Brandon Jacobs right tackle for 8 yards (tackle by Andre Carter),0.740,1.280
4,9:29,2,2,NYG 35,22,10,Eli Manning pass incomplete deep left intended for Sinorice Moss,1.280,0.560
4,9:17,3,2,NYG 35,22,10,Brandon Jacobs left tackle for 3 yards (tackle by Reed Doughty and Phillip Daniels),0.560,1.470
4,8:43,1,10,NYG 38,22,10,Eli Manning pass complete short left to Brandon Jacobs for 9 yards (tackle by London Fletcher),1.470,2.140
4,8:10,2,1,NYG 47,22,10,Eli Manning pass incomplete deep left intended for Plaxico Burress,2.140,1.420
4,8:03,3,1,NYG 47,22,10,Eli Manning pass incomplete short left intended for Plaxico Burress (defended by Fred Smoot),1.420,-0.260
4,7:59,4,1,NYG 47,22,10,Eli Manning pass complete short right to Sinorice Moss for 13 yards (tackle by Khary Campbell),-0.260,2.920
4,7:24,1,10,WAS 40,22,10,Eli Manning pass incomplete short right intended for Brandon Jacobs,2.920,2.370
4,7:20,2,10,WAS 40,22,10,Eli Manning pass incomplete short right intended for Brandon Jacobs,2.370,1.680
4,7:13,3,10,WAS 40,22,10,Eli Manning pass complete short right to Steve Smith for 8 yards (tackle by Leigh Torrence),1.680,1.300
4,6:41,4,2,WAS 32,22,10,Brandon Jacobs up the middle for 7 yards (tackle by London Fletcher and Khary Campbell),1.300,3.910
4,6:13,1,10,WAS 25,22,10,Eli Manning pass incomplete short middle intended for Brandon Jacobs,3.910,3.360
4,6:06,2,10,WAS 25,22,10,Brandon Jacobs left tackle for 5 yards (tackle by Khary Campbell and Lorenzo Alexander),3.360,3.340
4,5:35,3,5,WAS 20,22,10,Eli Manning pass incomplete deep middle intended for Amani Toomer,3.340,2.170
4,5:27,4,5,WAS 20,22,10,Eli Manning pass incomplete short right intended for Reuben Droughns (defended by Demetric Evans),2.170,-0.280
4,5:22,1,10,WAS 20,22,10,Ladell Betts right tackle for no gain (tackle by Fred Robbins),0.280,-0.270
4,5:17,,,,22,10,Timeout #1 by New York Giants,0.000,-0.270
4,5:17,2,10,WAS 20,22,10,Clinton Portis right guard for 4 yards (tackle by Justin Tuck),-0.270,-0.430
4,5:10,,,,22,10,Timeout #2 by New York Giants,0.000,-0.430
4,5:10,3,6,WAS 24,22,10,Clinton Portis up the middle for 1 yard (tackle by Barry Cofield),-0.430,-1.700
4,5:05,,,,22,10,Timeout #3 by New York Giants,0.000,-1.700
4,5:05,4,5,WAS 25,22,10,"Derrick Frost punts 45 yards, returned by R.W. McQuarters for 7 yards (tackle by LaRon Landry)",-1.700,-1.400
4,4:56,1,10,NYG 37,22,10,Eli Manning pass complete short middle to Kevin Boss for 12 yards (tackle by Leigh Torrence),1.400,2.190
4,4:32,1,10,NYG 49,22,10,Brandon Jacobs left tackle for 9 yards (tackle by London Fletcher),2.190,2.860
4,4:09,2,1,WAS 42,22,10,Eli Manning pass incomplete deep right intended for Steve Smith,2.860,2.150
4,4:01,3,1,WAS 42,22,10,Brandon Jacobs left tackle for 5 yards (tackle by Khary Campbell),2.150,3.120
4,3:39,1,10,WAS 37,22,10,Eli Manning pass incomplete short right intended for Brandon Jacobs (defended by Demetric Evans),3.120,2.570
4,3:33,2,10,WAS 37,22,10,Eli Manning pass incomplete deep right intended for Amani Toomer (defended by LaRon Landry),2.570,1.880
4,3:26,3,10,WAS 37,22,10,Eli Manning pass incomplete short middle intended for Kevin Boss,1.880,0.790
4,3:20,4,10,WAS 37,22,10,Eli Manning pass incomplete short left intended for Reuben Droughns,0.790,-1.400
4,3:14,1,10,WAS 37,22,10,Ladell Betts right tackle for 5 yards (tackle by Michael Strahan),1.400,1.530
4,2:35,2,5,WAS 42,22,10,Ladell Betts right end for 4 yards (tackle by Antonio Pierce and Reggie Torbor),1.530,1.360
4,2:00,3,1,WAS 46,22,10,Ladell Betts left end for 8 yards (tackle by Craig Dahl),1.360,2.520
4,1:15,1,10,NYG 46,22,10,Todd Collins kneels for -1 yards,2.520,1.840
4,0:38,2,11,NYG 47,22,10,Todd Collins kneels for -1 yards,1.840,1.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
