Quarter,Time,Down,ToGo,Location,ATL,STL,Detail,EPB,EPA
4,7:55,1,9,STL 9,9,21,Chris Redman pass incomplete short right intended for Roddy White,5.140,4.380
4,7:50,2,9,STL 9,9,21,"Penalty on Quinn Ojinnaka: False Start, 5 yards (no play)",4.380,3.580
4,7:50,2,14,STL 14,9,21,Chris Redman pass complete short right to Jerious Norwood for 9 yards (tackle by Tye Hill),3.580,4.260
4,7:25,3,5,STL 5,15,21,"Chris Redman pass complete short middle to Michael Jenkins for 5 yards, touchdown",4.260,7.000
4,,,,STL 2,16,21,Morten Andersen kicks extra point good,0.000,0.000
4,,,,ATL 30,16,21,"Michael Koenen kicks off 66 yards, returned by Jonathan Wade for 19 yards (tackle by Antoine Harris)",0.000,0.480
4,7:12,1,10,STL 23,16,21,Gus Frerotte pass complete short left to Steven Jackson for 9 yards (tackle by Keith Brooking),0.480,1.150
4,6:35,2,1,STL 32,16,21,Gus Frerotte pass complete short right to Isaac Bruce for 5 yards (tackle by Chris Houston),1.150,1.400
4,6:01,1,10,STL 37,16,21,"Penalty on Todd Steussie: False Start, 5 yards (no play)",1.400,1.070
4,5:40,1,15,STL 32,16,21,Gus Frerotte pass incomplete deep middle intended for Isaac Bruce is intercepted by Chris Crocker at STL-49 and returned for 16 yards (tackle by Randy McMichael),1.070,-3.380
4,5:33,1,10,STL 33,16,21,Chris Redman pass incomplete short left intended for Warrick Dunn,3.380,2.840
4,5:29,2,10,STL 33,16,21,Chris Redman pass incomplete deep left intended for Joe Horn,2.840,2.150
4,5:25,3,10,STL 33,16,21,"Chris Redman pass complete short left to Alge Crumpler for 10 yards. Penalty on Justin Blalock: Offensive Holding, 10 yards (no play)",2.150,0.830
4,5:05,3,20,STL 43,16,21,Chris Redman pass complete short middle to Alge Crumpler for 21 yards (tackle by Tye Hill). Penalty on Eric Moore: Defensive Offside (Declined),0.830,4.110
4,4:55,1,10,STL 22,16,21,Warrick Dunn up the middle for 1 yard (tackle by Brandon Chillar),4.110,3.700
4,4:20,2,9,STL 21,16,21,Chris Redman pass complete short left to Roddy White for 9 yards (tackle by Fakhir Brown),3.700,4.780
4,3:40,1,10,STL 12,16,21,Warrick Dunn left tackle for no gain (tackle by Brandon Chillar),4.780,4.100
4,3:05,2,10,STL 12,16,21,Chris Redman pass incomplete short middle intended for Alge Crumpler (defended by Adam Carriker),4.100,3.120
4,3:00,3,10,STL 12,16,21,Chris Redman pass complete short right to Joe Horn for 3 yards (tackle by Fakhir Brown),3.120,2.830
4,2:19,4,7,STL 9,16,21,Chris Redman pass incomplete short middle intended for Joe Horn (defended by Tye Hill),2.830,0.380
4,2:14,1,10,STL 9,16,21,Steven Jackson up the middle for 2 yards (tackle by Stephen Nicholas),-0.380,-0.630
4,2:07,,,,16,21,Timeout #1 by Atlanta Falcons,0.000,-0.630
4,2:07,2,8,STL 11,16,21,Steven Jackson left guard for no gain (tackle by Lawyer Milloy),-0.630,-1.190
4,2:00,3,8,STL 11,16,21,Gus Frerotte pass incomplete short left intended for Drew Bennett (defended by Chris Houston),-1.190,-2.490
4,1:56,4,8,STL 11,16,21,"Donnie Jones punts 47 yards, returned by Adam Jennings for 6 yards (tackle by Richard Owens)",-2.490,-2.130
4,1:45,1,10,ATL 48,16,21,Chris Redman pass incomplete deep left intended for Michael Jenkins is intercepted by O.J. Atogwe at STL-23 and returned for 27 yards (tackle by Warrick Dunn),2.130,-2.260
4,1:31,1,10,,16,21,Steven Jackson right tackle for no gain (tackle by Michael Boley),2.260,1.710
4,1:26,,,,16,21,Timeout #2 by Atlanta Falcons,0.000,1.710
4,1:26,2,10,,16,27,"Steven Jackson right guard for 50 yards, touchdown",1.710,7.000
4,,,,ATL 2,16,28,Jeff Wilkins kicks extra point good,0.000,0.000
4,,,,STL 30,16,28,"Jeff Wilkins kicks off 44 yards, returned by Ovie Mughelli for 10 yards (tackle by Tim McGarigle)",0.000,1.330
4,1:14,1,10,ATL 36,16,28,Chris Redman pass complete short right to Roddy White for 21 yards (tackle by O.J. Atogwe),1.330,2.720
4,1:14,1,10,STL 43,16,28,Chris Redman pass incomplete short left intended for Roddy White,2.720,2.180
4,0:43,2,10,STL 43,16,28,Chris Redman pass complete to Roddy White for 8 yards (tackle by Ronald Bartell),2.180,2.540
4,0:36,,,,16,28,Timeout #3 by Atlanta Falcons,0.000,2.540
4,0:35,3,2,STL 35,16,28,Chris Redman sacked by Will Witherspoon for -9 yards,2.540,0.330
4,0:15,4,11,STL 44,16,28,Chris Redman pass complete short middle to Jerious Norwood for 8 yards (tackle by Brandon Chillar),0.330,-1.330
4,0:05,1,10,STL 36,16,28,Gus Frerotte kneels for -1 yards,1.330,0.660
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
